Country,GDP,population,gini_index
Afghanistan,20496777409,29824536,27.8
Albania,12648095824,3162083,34.5
Algeria,2.05789E+11,38481705,34.5
Andorra,3577000000,78360,35.3
Angola,1.14147E+11,20820525,58.6
Antigua and Barbuda,1134159259,89069,30
Argentina,4.75502E+11,41086927,44.5
Armenia,9950522733,2969081,45.8
Australia,1.53241E+12,22683600,30.9
Austria,3.94708E+11,8462446,30.3
Azerbaijan,66604589419,9297507,26.3
Bahamas The,8149004000,371960,33.7
Bangladesh,1.16355E+11,154695368,32.1
Barbados,4224850000,283221,33.2
Belarus,63267017440,9464000,26.5
Belgium,4.83262E+11,11142157,27.2
Belize,1493100000,324060,28
Benin,7557286829,10050702,38.6
Bhutan,1779561112,741822,36.5
Bolivia,27035110130,10496285,56.3
Bosnia and Herzegovina,17465958606,3833916,53
Botswana,14504339386,2003910,36.2
Brazil,2.25266E+12,198656019,63
Brunei,16953952625,412238,51.9
Bulgaria,50972109857,7304632,28.2
Burkina Faso,10441012681,16460141,45.3
Burundi,2472384864,9849569,39.5
Cambodia,14038383450,14864646,42.4
Cameroon,25321590402,21699631,37.9
Canada,1.82142E+12,34880491,44.6
Cape Verde,1827021562,494401,32.1
Central African Republic,2184181391,4525209,56.3
Chad,12887072082,12448175,61.3
Chile,2.69869E+11,17464814,51.8
China People's Republic of,8.2271E+12,1350695000,52.1
China Republic of (Taiwan),4.84672E+11,23268087,50.1
Colombia,3.69606E+11,47704427,47.4
Comoros,595900353,717503,58.5
Congo (Congo   Brazzaville) (Republic),13677928884,4337051,47.3
Congo (Congo   Kinshasa) Democratic Republic,17203980743,65705093,44.4
Cote d'Ivoire (Ivory Coast),24680372724,19839750,50.3
Croatia,59228247411,4267000,41.5
Cuba,68233900000,11270957,32
Cyprus,22766912960,1128994,29
Czech Republic,1.96446E+11,10514810,25.8
Denmark,3.14887E+11,5590478,31
Djibouti,1354000000,859652,24.8
Dominican Republic,59047202158,10276621,47.2
Ecuador,84039856000,15492264,47.2
Egypt,2.62832E+11,80721874,47.7
El Salvador,23864400000,6297394,34.4
Equatorial Guinea,17697394251,736296,46.9
Eritrea,3091837398,6130922,40
Estonia,22390242609,1339396,36
Ethiopia,41605361646,91728849,31.3
Fiji,3907563305,874742,30
Finland,2.47546E+11,5414293,26.9
France,2.61288E+12,65696689,26.8
Gabon,18377083881,1632572,32.7
